Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
MI,11,300,10,0,0.998178251,0.996293447,0.994415748,0.998178251
MI,11,300,10,1,0.991027367,0.994037575,0.997066125,0.991027367
Correlation,11,200,10,0,0.990891256,0.991134317,0.991377497,0.990891256
Correlation,11,200,10,1,0.986204576,0.985817591,0.985430909,0.986204576
RF Feature Importance,11,200,10,0,0.994044283,0.993730956,0.993417828,0.994044283
RF Feature Importance,11,200,10,1,0.989457156,0.989956797,0.990456944,0.989457156
SHAP,11,400,10,0,0.9961463,0.994369645,0.992599316,0.9961463
SHAP,11,400,10,1,0.988111261,0.990945391,0.993795826,0.988111261
MI,21,300,10,0,0.997617713,0.995803609,0.99399609,0.997617713
MI,21,300,10,1,0.990354419,0.993250844,0.99616426,0.990354419
Correlation,21,400,10,0,0.993273543,0.991606044,0.989944134,0.993273543
Correlation,21,400,10,1,0.98384926,0.986504723,0.98917456,0.98384926
RF Feature Importance,21,400,10,0,0.997897982,0.995909234,0.993928397,0.997897982
RF Feature Importance,21,400,10,1,0.990242261,0.993417722,0.996613613,0.990242261
SHAP,21,200,10,0,0.998178251,0.995597177,0.993029416,0.998178251
SHAP,21,200,10,1,0.988784208,0.992904606,0.997059489,0.988784208
MI,28,200,10,0,0.998108184,0.995736055,0.993375174,0.998108184
MI,28,200,10,1,0.989344998,0.993132177,0.996948463,0.989344998
Correlation,28,400,10,0,0.997617713,0.994968553,0.992333426,0.997617713
Correlation,28,400,10,1,0.987662629,0.991890065,0.996153846,0.987662629
RF Feature Importance,28,400,9,0,0.997757848,0.995316978,0.992888021,0.997757848
RF Feature Importance,28,400,9,1,0.988559892,0.992455805,0.996382546,0.988559892
SHAP,28,400,10,0,0.998248318,0.995910664,0.993583932,0.998248318
SHAP,28,400,10,1,0.989681472,0.993414016,0.997174822,0.989681472
MI,32,400,10,0,0.998038117,0.995700954,0.993374712,0.998038117
MI,32,400,10,1,0.989344998,0.993076274,0.996835801,0.989344998
Correlation,32,300,10,0,0.99768778,0.994621403,0.991573816,0.99768778
Correlation,32,300,10,1,0.986428892,0.99132101,0.996261894,0.986428892
RF Feature Importance,32,300,10,0,0.998178251,0.995736353,0.993306373,0.998178251
RF Feature Importance,32,300,10,1,0.98923284,0.993131404,0.997060818,0.98923284
SHAP,32,300,10,0,0.99845852,0.995946324,0.993446737,0.99845852
SHAP,32,300,10,1,0.989457156,0.993468468,0.997512438,0.989457156
