,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,11,300,9,0,0.9983884529147982,0.9953199217658564,0.9922701949860724,0.9983884529147982
1,MI,11,300,9,1,0.9815724815724816,0.9839901477832512,0.9864197530864197,0.9815724815724816
2,MI,11,300,9,2,0.9970621152770005,0.9981093760941111,0.9991588391980933,0.9970621152770005
3,MI,11,300,9,3,0.8511904761904762,0.9196141479099678,1.0,0.8511904761904762
4,MI,11,300,9,4,0.9211195928753181,0.9476439790575917,0.9757412398921833,0.9211195928753181
5,Correlation,11,300,10,0,0.9951653587443946,0.9918296089385474,0.9885161469933185,0.9951653587443946
6,Correlation,11,300,10,1,0.9864864864864865,0.9828641370869032,0.9792682926829268,0.9864864864864865
7,Correlation,11,300,10,2,0.9955232232792389,0.9967084529728973,0.997896508203618,0.9955232232792389
8,Correlation,11,300,10,3,0.7797619047619048,0.7915407854984894,0.803680981595092,0.7797619047619048
9,Correlation,11,300,10,4,0.8651399491094147,0.9115281501340482,0.9631728045325779,0.8651399491094147
10,RF Feature Importance,11,400,10,0,0.9987387892376681,0.9960518500401802,0.9933793295700049,0.9987387892376681
11,RF Feature Importance,11,400,10,1,0.984029484029484,0.985239852398524,0.9864532019704434,0.984029484029484
12,RF Feature Importance,11,400,10,2,0.9984611080022384,0.9989502414444678,0.9994398543621341,0.9984611080022384
13,RF Feature Importance,11,400,10,3,0.8630952380952381,0.9235668789808917,0.9931506849315068,0.8630952380952381
14,RF Feature Importance,11,400,10,4,0.9249363867684478,0.9528178243774573,0.9824324324324324,0.9249363867684478
15,SHAP,11,300,10,0,0.9983183856502242,0.9949720670391062,0.9916481069042317,0.9983183856502242
16,SHAP,11,300,10,1,0.9766584766584766,0.977258758451137,0.977859778597786,0.9766584766584766
17,SHAP,11,300,10,2,0.9988808058198098,0.9991603694374475,0.9994400895856663,0.9988808058198098
18,SHAP,11,300,10,3,0.8154761904761905,0.8867313915857604,0.9716312056737588,0.8154761904761905
19,SHAP,11,300,10,4,0.9122137404580153,0.9509283819628647,0.9930747922437673,0.9122137404580153
