,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,32,300,10,0,0.9991591928251121,0.9955667260097044,0.992,0.9991591928251121
1,MI,32,300,10,1,0.9926289926289926,0.9908031882280809,0.988984088127295,0.9926289926289926
2,MI,32,300,10,2,0.998740906547286,0.9993001119820829,0.999859943977591,0.998740906547286
3,MI,32,300,10,3,0.8809523809523809,0.9337539432176657,0.9932885906040269,0.8809523809523809
4,MI,32,300,10,4,0.8956743002544529,0.943067649028801,0.9957567185289957,0.8956743002544529
5,Correlation,32,200,10,0,0.999229260089686,0.9953933133244922,0.9915867056042275,0.999229260089686
6,Correlation,32,200,10,1,0.9901719901719902,0.9889570552147239,0.9877450980392157,0.9901719901719902
7,Correlation,32,200,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
8,Correlation,32,200,10,3,0.8809523809523809,0.9337539432176657,0.9932885906040269,0.8809523809523809
9,Correlation,32,200,10,4,0.8918575063613231,0.9422043010752688,0.9985754985754985,0.8918575063613231
10,RF Feature Importance,32,200,10,0,0.9993693946188341,0.9954981678590125,0.9916568170757144,0.9993693946188341
11,RF Feature Importance,32,200,10,1,0.9914004914004914,0.9920098340503996,0.992619926199262,0.9914004914004914
12,RF Feature Importance,32,200,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
13,RF Feature Importance,32,200,10,3,0.8809523809523809,0.9337539432176657,0.9932885906040269,0.8809523809523809
14,RF Feature Importance,32,200,10,4,0.8918575063613231,0.9409395973154362,0.9957386363636364,0.8918575063613231
15,SHAP,32,300,10,0,0.9990891255605381,0.9956011730205279,0.9921374895630393,0.9990891255605381
16,SHAP,32,300,10,1,0.9914004914004914,0.9901840490797547,0.9889705882352942,0.9914004914004914
17,SHAP,32,300,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
18,SHAP,32,300,10,3,0.8988095238095238,0.9467084639498433,1.0,0.8988095238095238
19,SHAP,32,300,10,4,0.8982188295165394,0.9438502673796791,0.9943661971830986,0.8982188295165394
20,MI,28,300,10,0,0.9991591928251121,0.9957057570785183,0.9922761116136664,0.9991591928251121
21,MI,28,300,10,1,0.9914004914004914,0.9914004914004914,0.9914004914004914,0.9914004914004914
22,MI,28,300,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
23,MI,28,300,10,3,0.8690476190476191,0.9269841269841269,0.9931972789115646,0.8690476190476191
24,MI,28,300,10,4,0.9045801526717557,0.9461077844311377,0.9916317991631799,0.9045801526717557
25,Correlation,28,200,10,0,0.9988088565022422,0.9950092485952606,0.9912384396078159,0.9988088565022422
26,Correlation,28,200,10,1,0.9889434889434889,0.9889434889434889,0.9889434889434889,0.9889434889434889
27,Correlation,28,200,10,2,0.998740906547286,0.9993001119820829,0.999859943977591,0.998740906547286
28,Correlation,28,200,10,3,0.875,0.901840490797546,0.930379746835443,0.875
29,Correlation,28,200,10,4,0.8829516539440203,0.937204591492235,0.9985611510791367,0.8829516539440203
30,RF Feature Importance,28,300,10,0,0.9990891255605381,0.9957402234636872,0.9924136971046771,0.9990891255605381
31,RF Feature Importance,28,300,10,1,0.9914004914004914,0.9907918968692448,0.9901840490797545,0.9914004914004914
32,RF Feature Importance,28,300,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
33,RF Feature Importance,28,300,10,3,0.8869047619047619,0.9371069182389937,0.9933333333333333,0.8869047619047619
34,RF Feature Importance,28,300,10,4,0.9033078880407125,0.9454061251664447,0.9916201117318436,0.9033078880407125
35,SHAP,28,400,10,0,0.9991591928251121,0.9956362366905218,0.992138036596396,0.9991591928251121
36,SHAP,28,400,10,1,0.9914004914004914,0.9907918968692448,0.9901840490797545,0.9914004914004914
37,SHAP,28,400,10,2,0.9986010072747622,0.9992300692937636,0.9998599243591539,0.9986010072747622
38,SHAP,28,400,10,3,0.8690476190476191,0.9269841269841269,0.9931972789115646,0.8690476190476191
39,SHAP,28,400,10,4,0.9033078880407125,0.9466666666666668,0.9943977591036415,0.9033078880407125
40,MI,11,300,10,0,0.9985285874439462,0.9959466070305403,0.993377945071797,0.9985285874439462
41,MI,11,300,10,1,0.9828009828009828,0.9852216748768472,0.9876543209876543,0.9828009828009828
42,MI,11,300,10,2,0.9984611080022384,0.9987405541561712,0.9990201567749161,0.9984611080022384
43,MI,11,300,10,3,0.8630952380952381,0.9235668789808917,0.9931506849315068,0.8630952380952381
44,MI,11,300,10,4,0.926208651399491,0.9528795811518326,0.9811320754716981,0.926208651399491
45,Correlation,11,400,10,0,0.9953755605381166,0.9919352023181929,0.9885185442905852,0.9953755605381166
46,Correlation,11,400,10,1,0.9864864864864865,0.9822629969418961,0.9780755176613886,0.9864864864864865
47,Correlation,11,400,10,2,0.9955232232792389,0.9967782602605407,0.9980364656381486,0.9955232232792389
48,Correlation,11,400,10,3,0.7797619047619048,0.7915407854984894,0.803680981595092,0.7797619047619048
49,Correlation,11,400,10,4,0.861323155216285,0.9093351242444594,0.9630156472261735,0.861323155216285
50,RF Feature Importance,11,300,10,0,0.9987387892376681,0.9960170498218154,0.9933101045296168,0.9987387892376681
51,RF Feature Importance,11,300,10,1,0.984029484029484,0.985239852398524,0.9864532019704434,0.984029484029484
52,RF Feature Importance,11,300,10,2,0.9984611080022384,0.999020156774916,0.9995798319327731,0.9984611080022384
53,RF Feature Importance,11,300,10,3,0.8630952380952381,0.9235668789808917,0.9931506849315068,0.8630952380952381
54,RF Feature Importance,11,300,10,4,0.9249363867684478,0.9528178243774573,0.9824324324324324,0.9249363867684478
55,SHAP,11,300,10,0,0.9983183856502242,0.9949720670391062,0.9916481069042317,0.9983183856502242
56,SHAP,11,300,10,1,0.9766584766584766,0.977258758451137,0.977859778597786,0.9766584766584766
57,SHAP,11,300,10,2,0.9988808058198098,0.9991603694374475,0.9994400895856663,0.9988808058198098
58,SHAP,11,300,10,3,0.8154761904761905,0.8867313915857604,0.9716312056737588,0.8154761904761905
59,SHAP,11,300,10,4,0.9122137404580153,0.9509283819628647,0.9930747922437673,0.9122137404580153
