,Technique,k,HP_n_estimators,HP_max_depth,Class,Accuracy,F1_Score,Precision,Recall
0,MI,21,300,10,0,0.9972785749628896,0.994694632942628,0.9921240462712282,0.9972785749628896
1,MI,21,300,10,1,0.9908987485779295,0.9938667807730709,0.9968526466380544,0.9908987485779295
2,Correlation,21,300,10,0,0.9965363681345868,0.9906542056074765,0.984841075794621,0.9965363681345868
3,Correlation,21,300,10,1,0.9823663253697383,0.9891179839633448,0.9959630911188004,0.9823663253697383
4,RF Feature Importance,21,300,10,0,0.9972785749628896,0.9962926347009391,0.9953086419753087,0.9972785749628896
5,RF Feature Importance,21,300,10,1,0.9945961319681457,0.9957289293849659,0.9968643101482326,0.9945961319681457
6,SHAP,21,400,10,0,0.9977733795150915,0.9967869500741473,0.9958024691358025,0.9977733795150915
7,SHAP,21,400,10,1,0.995164960182025,0.9962984054669705,0.9974344355758267,0.995164960182025
8,MI,28,400,10,0,0.9977733795150915,0.9961714215141411,0.9945745992601727,0.9977733795150915
9,MI,28,400,10,1,0.9937428896473265,0.9955834164410885,0.9974307736226092,0.9937428896473265
10,Correlation,28,200,10,0,0.9967837704106878,0.993955840631553,0.9911439114391144,0.9967837704106878
11,Correlation,28,200,10,1,0.9897610921501706,0.9930089884434299,0.996278270827369,0.9897610921501706
12,RF Feature Importance,28,400,9,0,0.9972785749628896,0.9956774113869334,0.9940813810110974,0.9972785749628896
13,RF Feature Importance,28,400,9,1,0.9931740614334471,0.9950135346915515,0.9968598344276335,0.9931740614334471
14,SHAP,28,400,10,0,0.9972785749628896,0.9958003952569169,0.9943265910212136,0.9972785749628896
15,SHAP,28,400,10,1,0.9934584755403868,0.9951566951566951,0.9968607305936074,0.9934584755403868
16,MI,32,400,10,0,0.9977733795150915,0.9962944664031619,0.9948199309324124,0.9977733795150915
17,MI,32,400,10,1,0.9940273037542662,0.9957264957264956,0.997431506849315,0.9940273037542662
18,Correlation,32,200,10,0,0.9975259772389906,0.9938378111905349,0.9901768172888016,0.9975259772389906
19,Correlation,32,200,10,1,0.9886234357224118,0.9928591830905455,0.9971313826735514,0.9886234357224118
20,RF Feature Importance,32,300,10,0,0.9977733795150915,0.9959254228917152,0.9940842987429135,0.9977733795150915
21,RF Feature Importance,32,300,10,1,0.9931740614334471,0.9952971355280034,0.9974293059125964,0.9931740614334471
22,SHAP,32,300,10,0,0.9975259772389906,0.9959244164505372,0.994327990135635,0.9975259772389906
23,SHAP,32,300,10,1,0.9934584755403868,0.9952984755663199,0.9971453040251214,0.9934584755403868
