,Technique,Class,Accuracy,F1_Score,Precision,Recall,HP_n_estimators,HP_max_depth,k
0,MI,0,0.9980073230876528,0.8734141343680516,0.7764772000542625,0.9980073230876528,300,10,28
1,MI,1,0.5701401311866429,0.7248519308220801,0.9947977630381064,0.5701401311866429,300,10,28
2,Correlation,0,0.9998256407701697,0.925684635341597,0.8617802395980935,0.9998256407701697,300,9,28
3,Correlation,1,0.7600626118067979,0.8635487900408613,0.9996568795647273,0.7600626118067979,300,9,28
4,RF Feature Importance,0,0.9998256407701697,0.8727509920095669,0.7743354296076238,0.9998256407701697,200,10,28
5,RF Feature Importance,1,0.5640280262373286,0.7211302503990661,0.9995376791493297,0.5640280262373286,200,10,28
6,SHAP,0,0.9980322315490572,0.8733978550876275,0.7764363918224978,0.9980322315490572,400,10,28
7,SHAP,1,0.5700283243887895,0.7247784675164668,0.9948614544035385,0.5700283243887895,400,10,28
8,MI,0,0.9997509153859566,0.9993650793650795,0.9989795410423615,0.9997509153859566,200,10,11
9,MI,1,0.9984719737626714,0.9990490929092163,0.999626879594045,0.9984719737626714,200,10,11
10,Correlation,0,0.9824395347099409,0.8641507367037301,0.7712855410849075,0.9824395347099409,300,10,11
11,Correlation,1,0.5641025641025641,0.7093946992243338,0.9554952338867496,0.5641025641025641,300,10,11
12,RF Feature Importance,0,0.9996761900017436,0.8719096241581576,0.7731011500009631,0.9996761900017436,400,9,11
13,RF Feature Importance,1,0.5610092426952892,0.7185545849443887,0.9991371299615027,0.5610092426952892,400,9,11
14,SHAP,0,0.9996761900017436,0.9993401476575242,0.9990043311594564,0.9996761900017436,400,9,11
15,SHAP,1,0.9985092426952892,0.9990118761302833,0.9995150158552509,0.9985092426952892,400,9,11
